time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-01-03 09:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,476.29998779296875,105,0.0
2022-01-03 09:31:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:31:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,476.29998779296875,53,0.0
2022-01-03 09:32:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:32:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,476.29998779296875,26,0.0
2022-01-03 09:33:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:33:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,476.29998779296875,13,0.0
2022-01-03 09:34:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:34:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,476.29998779296875,6,0.0
2022-01-03 09:35:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:35:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,476.29998779296875,3,0.0
2022-01-03 09:36:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:36:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,476.29998779296875,2,0.0
2022-01-03 09:37:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:37:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,476.29998779296875,1,0.0
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,stop,fill,1,day,0.0,1,stock,451.8580139160156,53,0.0
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,stop,fill,1,day,0.0,1,stock,451.8580139160156,105,0.0
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,stop,fill,1,day,0.0,1,stock,451.8580139160156,3,0.0
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,stop,fill,1,day,0.0,1,stock,451.8580139160156,26,0.0
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,stop,fill,1,day,0.0,1,stock,451.8580139160156,1,0.0
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,stop,fill,1,day,0.0,1,stock,451.8580139160156,6,0.0
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,stop,fill,1,day,0.0,1,stock,451.8580139160156,2,0.0
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-19 08:30:00-05:00,MLTrader,SPY,sell,stop,fill,1,day,0.0,1,stock,451.8580139160156,13,0.0
2022-01-19 09:30:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-19 09:30:00-05:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,458.1300048828125,103,0.0
2022-01-19 09:31:00-05:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
